Incident ID,Original Incident Number,Summary
INC000018616370,,Teams Meeting in Serie nicht richtig hinterlegt#
INC000018616677,,MS Teams - unable to login#
INC000018616749,,Microsoft Teams - Request to add meetings#
INC000018616932,,Teams Question#
INC000018617247,,MICROSOFT TEAMS - Request to activate MS TEAMS.#
INC000018617479,,Kein Audi in Telefonaten#
INC000018617617,,Teams Anmeldung#
INC000018617638,,Microsoft Teams nicht mehr vorhanden#
INC000018617717,,MS Teams - not able to take control / request control of other person screen#
INC000018617851,,Problems to open file excel on sharepoint in read and wright#
INC000018617924,,MS Teams kein zugriff.#
INC000018618470,,Microsoft teams access to Robert xxx GmBH#
INC000018618644,,Teil an Besprechung kann nicht angenommen werden#
INC000018618653,,MS Teams Meeting in Outlook no available#
INC000018618726,,consultation about importing contacts#
INC000018619067,,MS TEAMS Error#
INC000018619396,,Unable to access the link from MS teams#
INC000018619632,,Audio in Besprechungen funktioniert nicht#
INC000018619655,,MS Teams - keeps on reconnecting#
INC000018619666,,Could not connect to internet error#
INC000018620244,,Create a Team erscheint nicht in Teams.#
INC000018620336,,"Einloggen in Teams sehr langsam/""join meeting"" nicht immer nutzbar#"
INC000018620388,,User HEP8WZ - troubles connecting/logging-in into MS Teams#
INC000018620417,,Apps connection to MS Teams application#
INC000018620475,,Anrufe in Teams funktioniren nicht#
INC000018621006,,Besprechungen können nicht erstellt werden#
INC000018621297,,-O365- Teams Termine mit Outlook einstellen // set team appointments with Outlook#
INC000018621725,,Microsoft Teams Startup Error#
INC000018622167,,Login Teams#
INC000018622303,,MS Teams login failure#
INC000018622481,,Issue Teams#
INC000018623446,,Issue with Teams App#
INC000018623790,,Question how to use MS Teams#
INC000018624180,,Freischaltung Dokumentationsaustausch mit Lieferant#
INC000018624248,,MS Teams - team room creation is still not processed#
INC000018624355,,URGENT. Impossible to connect to an external MS Teams account for a training#
INC000018624367,,Frage zu MS Teams / Office 365#
INC000018624392,,Telefonieren nicht möglich.#
INC000018624449,,Teams Room Creation not done#
INC000018624701,,Teams mit externen Mitarbeitern#
INC000018624745,,Microsoft Teams#
INC000018624779,,teams termine#
INC000018624957,,Teams Chat - Backdoor#
INC000018625483,,Teams mit externen Mitrbeitern verwenden#
INC000018625611,,MICROSOFT TEAMS - application is Not activate#
INC000018625631,,Unable to create Teams meeting in Outlook#
INC000018626118,,Ms teams - wanted to create a Team but the option is not visible in MS Teams#
INC000018626249,,Error whe log in into Teams#
INC000018626833,,Teams wird nicht als Antwort#
INC000018626871,,Inskribieren im Teams nicht moeglich#
INC000018627018,,Microsoft Teams issue#
INC000018627039,,Info about teams#
INC000018627127,,No participation possible in Teams of external#
INC000018627546,,Unable to join External Room#
INC000018627626,,Ms Teams apps cannot be opened or dowloaded#
INC000018627793,,Keine erfolgreiche Anmeldung#
INC000018627976,,MICROSOFT TEAMS - not able to log in#
INC000018628289,,"""You are missing out"" MS Teams#"
INC000018628354,,Cannot upload picture on MS Teams#
INC000018628500,,Anmeldung in Teams nicht moeglich und MS Teams öffnet sich nicht#
INC000018628631,,Headset Problem#
INC000018628682,,Microsoft Teams Application - not working(Needed admin)#
INC000018628698,,MS Teams - Sometimes user cannot join meeting.#
INC000018628931,,Endlose Schleife via Teams#
INC000018629619,,MS Teams - Always signed in as guest#
INC000018629725,,1xunr MS-Team Connection Error#
INC000018629855,,Microsoft Teams - SIgn Up Not Possible#
INC000018629893,INC000018630679,MS Teams file server error#
INC000018630085,INC000018630679,User cannot open the excel in teams and occurred unknown error.#
INC000018630192,INC000018630679,Cannot access Sharepoint of Office 365 from Teams (or direct access)#
INC000018630504,INC000018630679,The files missed suddenly#
INC000018630679,,MS Teams - unable to access files due to error#
INC000018630688,INC000018630679,"User cannot open  and download the posted excel today,yesterday is ok#"
INC000018630728,INC000018630679,MICROSOFT TEAMS - Folder is unavailable#
INC000018630826,INC000018630679,user failed to view files posted in MS teams room#
INC000018630863,INC000018630679,Files und Wiki können nicht mehr zugreifen werden#
INC000018630969,,MS teams - unable to log in#
INC000018631046,,Files Inhalt ist nicht sichtbar#
INC000018631262,INC000018630679,"MS Teams, can't open the files#"
INC000018631355,,User needs to be released for MS Teams#
INC000018631383,,MICROSOFT TEAMS - unable to login#
INC000018631596,,IT Support Ticket#
INC000018631610,,Question regarding Team Room Creation#
INC000018631611,INC000018630679,MS Teams  Product information#
INC000018631624,,List invalid.#
INC000018631647,,Die angegebene Liste ist ungültig.#
INC000018631661,,User report one teams meeting issue#
INC000018631852,,Teams consultation#
INC000018631939,,Team erstellen und Profile Photo#
INC000018632082,,MS Teams - Unable to log in#
INC000018632126,INC000018630679,Datei Ablagen werden nicht angezeigt#
INC000018632153,INC000018630679,MS Teams - Error : Specified list is invalid.#
INC000018632207,,Fehlermeldung Teams#
INC000018632223,,Microsoft Teams - unable to access#
INC000018632270,,Teams can not be started#
INC000018632375,,RBLA - Support#
INC000018632432,,Profile picture in Teams#
INC000018632468,,Accessing Teams with different email#
INC000018632676,,Unable to create MS Teams meetings from Outlook#
INC000018632688,,Seite kann nicht geöffnet werden#
INC000018633194,,Microsoft Teams Log-On doesn`t work#
INC000018633598,,MS Teams#
INC000018633678,,Teams Anfrage#
INC000018633821,,Cannot use Daimler's MS Teams#
INC000018633858,,IT Support Ticket#
INC000018634115,,Wiki erstellen möchte bekommt aber eine Meldung#
INC000018634122,,MITS / 11819740  / Missing delivery#
INC000018634226,,MS Whiteboard installation issue#
INC000018634341,,teams error message when creating meetings#
INC000018634495,,Please help in updating the Master of role of the Microsoft Teams team: TT/BDO-PO (Old name: TTPO/OR#
INC000018635038,,Microsoft Teams Installation#
INC000018635093,,Outlook Besprechung öffnet Teams bei Antworten#
INC000018635184,,Zugriff auf SharePoint / OneNote auf einer externen Seite#
INC000018635226,,MS teams - Unable to access Videos#
INC000018635312,,"""We couldn't connect to the internet. Try checking your connection.""#"
INC000018635391,,Roman.Grzeszik@de.xxx.com#
INC000018635814,,"Microsoft Teams - Kanal ""SOM SF Sued""#"
INC000018636114,,Ms Teams - Adding mails from Externals Inquiry#
INC000018636608,,MS Teams Anwendung wiederhold den Instalationsvorgang#
INC000018636736,,Microsoft teams failed to login#
INC000018636759,,Microsoft Teams - failed to login#
INC000018636760,,1xunr Unable to access to microsoft teams#
INC000018637997,,Change MoR#
INC000018638420,,MS Teams - unable to login#
INC000018638532,,Microsoft Teams - Fehlermeldung#
INC000018638549,,Microsoft teams - unable to organize meeting from outlook#
INC000018638681,,microsoft teams - role request#
INC000018638775,,Change MoR of a Team#
INC000018638808,,can not access external room#
INC000018638886,,MS Teams issue#
INC000018638993,,MS Teams Collaboration#
INC000018639084,,Ms teams - user is not seeing Microsoft team meeting software#
INC000018639262,,Schulung in Teams organisieren.#
INC000018639272,,User in Kanäle eintragen#
INC000018639293,,Kein Datei-Upload möglich bei externem Teams Sharepoint#
INC000018639338,,Can you update the MoR of the team AvP_MFE from AvP/TEF3 to AvP/MFE?#
INC000018639482,,Team room was created and not reflecting in teams tool.#
INC000018639603,,MS Teams Webhook Functionality#
INC000018639809,,MS Teams and Canada xxx email#
INC000018639849,,Cannot cannot to Teams meeting#
INC000018639903,,Microsoft teams - requesting to connect with outlook#
INC000018639959,,Microsoft Teams - Team kann nicht erstellt werden#
INC000018640147,,IT Support Ticket#
INC000018640210,,Anmeldung nicht möglich#
INC000018640401,,Delegates for Microsoft Teams#
INC000018640510,,Loggin not possible#
INC000018640685,,Microsoft Teams access request#
INC000018640962,,Microsoft Office 365 - Request to Activate office application#
INC000018641008,,Zugriff File Share Kooperationspartner#
INC000018641138,,MS Teams - unable to access#
INC000018641153,,OneNote  Feature is disabled by the administrator#
INC000018641179,,How to grant foreign organisation for microsoft teams.#
INC000018642032,,Tams - Stuck in loading#
INC000018642221,,Microsoft Teams EAN - Team Room Creation    nicht vorhanden.#
INC000018642464,,einloggen nicht möglich#
INC000018642758,,Team room creation - got 2 instead of 1#
INC000018642880,,MS Teams  Product information#
INC000018643057,,Changing of Background#
INC000018643075,,Unable to assign Team to present during meeting#
INC000018643680,,Consult regarding Teams meeting#
INC000018644392,,Microsoft Teams - create team#
INC000018644711,,MSTeams - Create a New Team#
INC000018644786,,Question how to access external team meeting#
INC000018644837,,MS Teams - cannot find calendar#
INC000018645255,,MS TEAMS - login request#
INC000018645844,,Why the channel that user created before missed suddenly#
INC000018645996,,Kein Add-In für Teams in Outlook#
INC000018646429,,The user consults how to modify the background color of Teams.#
INC000018646724,,Frage zu MS Teams#
INC000018648462,,Disable autostart of Microsoft Teams#
INC000018648574,,Besprechungen in Teams nicht möglich#
INC000018648787,,teams issue#
INC000018649495,,"O365  MS Teams create Teams meeting as delegate fails  ""cannot connect to server now""#"
INC000018649693,,Anzeige der Features wird nicht dargestellt#
INC000018649751,,MSFT. Teams meeting#
INC000018650465,,MS TEAM Login nicht möglich#
INC000018651037,,Change teams room from private to public#
INC000018651573,,Error message MS Teams meeting#
INC000018651767,,MS TEAMS - Book a new meeting#
INC000018651819,,Erstanmeldung in MS Teams gelingt nicht#
INC000018652175,,Access external webserver hosted by Microsoft#
INC000018652423,,Datei kann nicht geöffnet werden#
INC000018652484,,Microsoft Teams application is not working#
INC000018652738,,Ms Teams - no container#
INC000018653283,,MS Teams Meetings Problem#
INC000018653708,,MS Teams - Request to know how to enable recording#
INC000018653874,,Microsoft Office 365 - Unable to log in#
INC000018654053,,Installation of MS Team#
INC000018654248,,IT Support Ticket#
INC000018654567,,MS Teams problem#
INC000018654678,,https://login.microsoftonline.com/login.srf link unable to access#
INC000018655072,,MS Team_Room creation_ Name :  GS/OBR12-IN#
INC000018655763,,Anmeldung in Teams funktioniert nicht#
INC000018656214,,MS teams - unable to sign in#
INC000018656316,,MS Teams - external access#
INC000018657142,,Problemi con APP Microsoft Teams#
INC000018657212,,User cannot join MICROSOFT TEAMS meetings#
INC000018657240,,No connection to MS Teams#
INC000018658137,,Unable to access internet: https://login.microsoftonline.com#
INC000018658332,,MS Teams - We're sorry--we've run into an issue#
INC000018658502,,Microsoft Teams#
INC000018658845,,Login to MS teams not possible#
INC000018658959,,Anfrage Ticket#
INC000018659600,,MS Team unable to access due to an error#
INC000018659703,,IT Support Ticket#
INC000018659906,,Ms teams failed to login#
INC000018660039,,Site access#
INC000018660511,,MS Teams - Issue accessing planner#
INC000018660801,,Consult regarding meeting delegate#
INC000018661312,,Question how to activate MS Teams#
INC000018662024,,MS Teams - Request for CALENDAR app to join meetings#
INC000018662217,,O365 - now getting sent emails which I don’t want#
INC000018662247,,-O365- Cannot change views in Outlook#
INC000018662264,,"MS TEAMS - ""No internet connection""#"
INC000018662400,,Stop getting emails from msteams_4269165@xxx.onmicrosoft.com#
INC000018662612,,Manage Rights via IdM#
INC000018662817,,Onenote files wont open#
INC000018663107,,Cannot set up Teams meeting sporadically#
INC000018663519,,Microsoft teams Account Creation#
INC000018663887,,Teams Einladung Anliegen#
INC000018664288,,Sin acceso a Teams / Cannot acess Teams#
INC000018664434,,MS WHITEBOARD - Request consult on logging in#
INC000018664518,,MS Teams installation#
INC000018664567,,Teams not working#
INC000018664591,,Create Team#
INC000018664622,,Microsoft Teams - Cannot export whiteboard with notes as .Png#
INC000018664746,,MICROSOFT TEAMS - no access because of so-called failing internet connection.#
INC000018664784,,Where is my Order Office 365 EAN : Req-ID: 11876480#
INC000018665179,,Unable to access Microsoft Teams#
INC000018665191,,Request to insAtall Microsoft Teams#
INC000018665419,,Guest  Anmelden#
INC000018665480,,E-Mails in Teams speichern#
INC000018665627,,Creation of new team in MS Teams only possible with a code#
INC000018665853,,externe anrufen über Teams#
INC000018665906,,MS TEAMS - request to enable for Robert xxx GmbH#
INC000018665959,,reg. need access for Microsoft Teams#
INC000018666350,,Bild kann in MS Teams nicht gespeichert werden#
INC000018666877,,Team Meeting in Outllok erstellen#
INC000018667082,,Sign in to MS Teams is not working#
INC000018667603,,Whiteboard not working#
INC000018667634,,Microsoft teams - how to delegate to MS teams meeting (consult)#
INC000018668396,,Manage Rights via IdM#
INC000018669780,,Cannot use MS Teams on my computer - login window pops up#
INC000018670009,,Teams Nachfrage#
INC000018670015,INC000018159129,The meeting always drop line  via MS TEAMS  when use xxx wifi#
INC000018670075,,Microsoft Teams - enable request#
INC000018670341,,White board f does not work on Mobile Phone  // White board funktioniert nicht auf Handy.#
INC000018670344,,Cannot join MS Teams meeting#
INC000018670452,,ms Teams on Mobile phone not working / Login not possible#
INC000018670656,,Cannot connect to MS teams meeting#
INC000018671072,,Window Loading in Teams#
INC000018671283,,MS Team - Access Request#
INC000018671445,,1xunr- WG: 11839770 Fulfilled: Add Software Microsoft Teams (install)#
INC000018671485,,Skype Kontakten importierter in Teams#
INC000018671504,,Login zu Teams geht nicht#
INC000018671581,,Creacion gropo en Teams / Teams Room creation#
INC000018671754,,MS Teams Inskriebierung Fehlerhaft#
INC000018672012,,IT Support Ticket / MS Teams login#
INC000018672291,,No Camera Functionality with Microsoft Teams#
INC000018672533,,"MS Teams - unable to join in a meeting, getitng error message#"
INC000018672535,,Raum löschen?#
INC000018672595,,Unterstützung für MS Teams.#
INC000018672764,,MS Teams - Unable to join meetings#
INC000018672779,,Microsoft Teams Master of Role update#
INC000018672923,,IT Support Ticket#
INC000018673249,,Sharepoint - unable to access external link#
INC000018673801,,MS Teams zeigt nicht den Bild an#
INC000018674284,,MS Teams Meeting Fehlermeldung#
INC000018674294,,MS Teams öffnet sich nicht mehr#
INC000018674410,,IT Support Ticket#
INC000018674739,,User unavle to login into teams#
INC000018674811,,MS Teams cannot able to join a meeting due to an error#
INC000018674885,,MS Teams - camera + internet connection#
INC000018674981,,IT Support Ticket#
INC000018675074,,MS Teams meeting invitation creation issue#
INC000018675085,,Microsoft Forms#
INC000018675169,,Customer can't raise a hands in MS teams (consult)#
INC000018675620,,ES // vincularo el One Note / Link of One Note#
INC000018675694,,MS Teams - unable to login#
INC000018675811,,MS Teams - No owner in channel#
INC000018677229,,Applikation kann nicht gestartet werden#
INC000018677560,,Microsoft Teams - unable to make calls due to contact is empty#
INC000018677764,,Login not possible#
INC000018677782,,Abteilung Problem // department problem#
INC000018678047,,MS Teams not working on subnet#
INC000018678092,,Teams Login is not working#
INC000018678123,,MS Teams can’t access functionality such as meetings on my desktop#
INC000018678524,,Teams chat nicht möglich#
INC000018678682,,MS Teams - cannot send meeting invite#
INC000018678801,,Cannot male phone calls any more in MS Teams#
INC000018678854,,Teams SW missing#
INC000018679264,,Outlook 365 /Neue Teams-Besprechung -> Fehlermeldung /Outlook 365 /New team meeting -> Error message#
INC000018679315,,IT Service Portal - service delivery#
INC000018679686,,TKE - Access denied#
INC000018679840,,Auftrag 11879742 - missing Delivery#
INC000018679912,,teams problem#
INC000018679938,,MS issue#
INC000018679991,,IT Support Ticket#
INC000018680048,,I am not able to sign in to MS teams with official account.#
INC000018680114,,Teams meeting  not possible#
INC000018680170,,TEAMS meeting on meeting room Telephone : <Connecting failed - please contact you're Admin>#
INC000018680410,,Kann kein Profilbild in MS Teams hochladen bzw Speichern nicht möglich / Cannot upload or save a p#
INC000018680694,,MS Teams login error#
INC000018681221,,Planen einer Besprechung in Microsoft Teams / Planning a meeting in Microsoft teams#
INC000018681259,,MS Teams - How to set up video capability#
INC000018681286,,MS teams - failed to login#
INC000018681288,,MS teams - failed to login#
INC000018681370,,I can’t save the uploaded picture to my profile in Microsoft Teams#
INC000018681413,,No MS Teams access at VDA#
INC000018681414,,Verbotene Nazi-Abkürzungen in MS Teams#
INC000018681467,,Microsoft Teams Access to Customer Team#
INC000018681475,,Regarding MS TEAMS issue#
INC000018681679,,Mip_DBWorks - Problem#
INC000018682267,,"No ""join online"" for Teams Meetings any more#"
INC000018683722,,MICROSOFT TEAMS - You're missing out. Ask your admin to enable Microsoft Teams#
INC000018683804,,MS Teams - unable to access#
INC000018684047,,MS Teams - Change profile picture request#
INC000018684291,,Microsoft Teams - User Activation Query#
INC000018684544,,MS Teams - request to remove or not open the meeting on the web page#
INC000018684770,,Teams couldn't connect to the internet#
INC000018685164,,McCann Adapt Plus Tool#
INC000018685168,,Microsoft Teams: Please appoint additional team room owner#
INC000018685522,,MS Teams meeting asking to signout and signin again#
INC000018685539,,MS teams log in problem#
INC000018686103,,Log in into MS Teams is not working#
INC000018686426,,MS Teams - unable to login#
INC000018686497,,Ms teams funktioniert nicht#
INC000018686790,,IT Support Ticket#
INC000018686828,,Teams Create Meetings failed#
INC000018686831,,Anmeldung nicht möglich#
INC000018686877,,Upload files error#
INC000018686916,,Restore a file deleted in MS Teams#
INC000018687035,,Teams Fehler bei Teilnahme / Error when participating#
INC000018687453,,IT Support Ticket#
INC000018687516,,MS Teams - unable to login#
INC000018687571,,MS Teams - user requesting on how to add Teams or members#
INC000018687686,,office 365 and teams can not work in BSH network .#
INC000018687765,,User cannot join meeting#
INC000018687778,,Login zu Teams geht nicht#
INC000018687794,,MS Teams not installed#
INC000018687915,,"MICROSOFT TEAMS - Teams does not work, it tries to reconnect to server and restarts#"
INC000018688078,,Audio verschwindet bei Chat#
INC000018688269,,Ticket: External teams - file upload doesn't work#
INC000018688658,,Antrag stornieren.#
INC000018688719,,Add new Owner#
INC000018688893,,The calendar from Outlook is not synchronized in Teams.#
INC000018689135,,Ms TEAMS#
INC000018689206,,1st time login to Teams failed#
INC000018689228,,Teams login#
INC000018689347,,Open Microsoft Teams directly#
INC000018689405,,Welcome to Microsoft Office 365 EAN#
INC000018689810,,MS Teams - cannot schedule a meeting#
INC000018690010,,Acess to TEAMS - You're missing out. Ask your admin to enable Microsoft Teams for Robert xxx GmbH#
INC000018690051,,Termin in Kalender des Chefs kann nicht eingestellt werden#
INC000018690081,,Wrong number appears#
INC000018690295,,is it possible to do remote via teams? / ist es möglich Remote über Teams zu machen?#
INC000018690399,,CI1 Team Nissan C53L- unable to change profile image of the room#
INC000018690499,,WFM // Unable to access MS Teams#
INC000018690532,,Outlook - Ms teams meeting icon is missing#
INC000018690534,,"How can team meetings be recorded, do I need to have some permissions?#"
INC000018690918,,Calendar Meeting Assistance#
INC000018691019,,WFM // RE: Couldn't access MS Teams#
INC000018691069,,Microsoft Teams - Query on how to enable access#
INC000018691110,,We were unable to connect to the internet. Try checking your connection. - Teams#
INC000018691404,,MS TEAMS - Calendar Icon missing#
INC000018691516,,Teams in Home office do not allow email links for meetings#
INC000018691548,,MICROSOFT TEAMS - sign-In#
INC000018691667,,User cannot login to Ms teams.#
INC000018692018,,Can't use MS teams although my ticket is ordered successfully#
INC000018692110,,Unable to sign in microsoft teams.#
INC000018692940,,Software Installation#
INC000018693557,,1XUNR Unable to login to MS Teams#
INC000018693592,,Headsets funktionieren nicht/Headset does not Work#
INC000018693707,,No access to MS Teams#
INC000018693963,,MS teams add in missing for outlook meetings#
INC000018693991,,The Teams cannot hear or speak after the Skype has been started.#
INC000018694022,,Teams user ID activation#
INC000018694803,,MS teams - We couldn't connect to the internet#
INC000018694846,,Kein Ton für Video in Teams#
INC000018695120,,1UNR / WFM  // Access to customer sharepoint#
INC000018695969,,Teilnehmen zu Besprechungen ist nicht moglich#
INC000018696122,,IT Support Ticket#
INC000018696317,,Ms teams - how to add the ms teams meeting on the outlook#
INC000018696332,,Zugriff auf Steuerberater#
INC000018696405,,Add OneNote in MS TEams#
INC000018696594,,Ms Teams  Contact Import#
INC000018696670,,Add OneNote in MS Teams#
INC000018696676,,MS Teams - unable to log in#
INC000018696760,,Microsoft Teams: Please appoint additional team room owner#
INC000018696772,,MS teams program can't be found#
INC000018696861,,M. Teams sorunu /M. Teams Issue#
INC000018696867,,Zugriff auf Office 365 SharePoint Online extern#
INC000018697203,,Teams Gruppen#
INC000018697389,,MS Teams - Unable to login#
INC000018698129,,Unable to login on the Microsoft teams#
INC000018698883,,MS Teams inquiry for Video and audio conferencing#
INC000018699447,,error message in Teams#
INC000018699505,,Ms teams - request to have access on ms teams#
INC000018699643,,Manage Rights via IdM#
INC000018699731,,E&Y Portal - Unable to access#
INC000018699819,,MS Teams login error#
INC000018700459,,MS Teams#
INC000018700491,,Teams couldn't connect to the internet#
INC000018700950,,MS Teams - Camera not working#
INC000018701119,,Anmeldung fehlgeschlagen#
INC000018701129,,Teams - Meeting Settings Inquiry#
INC000018701551,,The user asked whether it is possible to add non-xxx people in the Team Room.#
INC000018701619,,urgent teams access request#
INC000018701693,,MS Teams - calendar function is not showing#
INC000018701771,,connection Issues with Teams#
INC000018701807,,No Internet connection#
INC000018701857,,MS Teams could not connect to the internet#
INC000018702386,,cannot access teams#
INC000018702662,,Error while creating Teams Meeting#
INC000018703084,INC000018716261,Button is missing#
INC000018703103,,MS Teams funktioniert nicht richtig / MS Teams not working properly#
INC000018703202,,Nutzung Ms Teams nicht moglich#
INC000018703252,,Login Teams does not work#
INC000018703857,,Microsoft Teams Team Room - Owner#
INC000018704192,,Anmeldung in Teams funktioniert nicht/ Registration in teams does not work#
INC000018704519,,Konferenzen teilnehmen nicht möglich.#
INC000018704538,,failed to send error#
INC000018704543,,Audiofunktion funktioniert nicht korrekt#
INC000018704900,,Anmeldung nicht möglich#
INC000018705032,,Access to McCann Adapt Plus Tool#
INC000018705034,,Unable to login to the MS Teams application#
INC000018705330,,MICROSOFT TEAMS - Unable to sign-in Microsoft Teams#
INC000018705433,,Internet Access#
INC000018705471,,Unable to login to MS Teams#
INC000018705503,,Whiteboard kann nicht installiert werden#
INC000018705527,,Sign in error in Microsoft Teams#
INC000018705563,,Microsoft Teams Login Issue#
